File,Category,Section,Title
206120573.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,How do I book a room at MIT?
205477776.html,Basics of Finance,Business models ,What is a business model?
205477626.html,Basics of Finance,Financial statements,What is a profit and loss statement or a P&L?
205827903.html,Basics of Finance,Financial statements,What is an income statement?
205477576.html,MIT Specific questions,Startup resources for MIT students,Can you recommend lawyers that other MIT startups have worked with?
205467326.html,General questions,Getting started,How do I network effectively?
205467246.html,MIT Specific questions,Startup resources for MIT students,What MIT organizations are involved with entrepreneurship?
204963086.html,Legal ,Hiring your first lawyer,Where can I find startup lawyers in Boston?
204962956.html,MIT Specific questions,Startup resources for MIT students,Can I find a lawyer who will work with me for free?
205815383.html,MIT Specific questions,Startup resources for MIT students,Where can I meet cofounders at MIT?
204891306.html,Founders' Decisions,Founder dating,Where can I find a co-founder?
205243546.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,What services and support can I get at the Martin Trust Center?
205815123.html,MIT Specific questions,Startups founded by MIT alumni,What are some MIT student startups that raised venture capital in 2015?
205813743.html,Ideation,Idea selection,How do I downselect ideas from a brainstorming session?
205465506.html,Ideation,Brainstorming and ideation,Is there a framework for coming up with an idea?
205813703.html,Founders' Decisions,Founder dating,Should I start a company with my best friend?
204854066.html,Customer Acquisition,Marketing and Branding,How do I come up with a logo?
205586653.html,Product Development,Hardware Development,How much would it cost to develop a hardware product?
205244486.html,Human Resources,Hiring,How do I find a programmer?
205242706.html,General questions,Getting started,I'm new to entrepreneurship. How do I get started?
205475423.html,Legal ,Everything about stock and stock options,What is a capitalization table or cap table?
205570203.html,Legal ,Hiring your first lawyer,What is the key aspect when starting a relationship with an attorney?
204939926.html,Legal ,Hiring your first lawyer,What are the questions I should be asking an attorney?
205475393.html,Legal ,Everything about stock and stock options,Where can I go to learn about stock and stock options?
205147056.html,General questions,Pitches and presentations,How do I do a good one-minute pitch? What about elevator pitches or 10-minute pitches?
205478523.html,General questions,Pitches and presentations,How do I practice for my pitch effectively?
205477633.html,General questions,Pitches and presentations,What should I put in a 10-minute pitch?
205145466.html,Financing,Fund Raising,Is there a book that teaches you how to raise money?
205474403.html,Human Resources,Compensation,How much should I pay my employees?
205139306.html,Legal ,Hiring your first lawyer,What documents do I need from my lawyer?
205468723.html,Legal ,Everything about stock and stock options,Why is vesting important?
205139286.html,Legal ,Everything about stock and stock options,"What is ""vesting""?"
205468593.html,Founders' Decisions,Equity split,When should we split the equity between cofounders?
205468393.html,Legal ,What is the recommended legal reading for entrepreneurs ?,What are some good reads on legal matters?
205139016.html,Legal ,Company formation / incorporation,"What is the difference between a C-corp, an S-corp and an LLC?"
205449193.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),How can I learn more about Design for Manufacturing?
205115976.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),What is Design for Manufacturing?
205448193.html,Business Model and Pricing,SaaS business models,How do I create a SaaS business model?
205115146.html,Sector Deep Dives,Current focus on industry sectors,What is a Sector Practice Leader?
205113986.html,Legal ,Hiring your first lawyer,I don't have money to hire a lawyer. Who can help me with my legal questions?
205113586.html,MIT Specific questions,Competitions and Prizes at MIT,What entrepreneurship related competitions and prizes can I apply for at MIT?
205446103.html,Career Choice,Planning your career,How do I plan my career?
205193963.html,Career Choice,Planning your career,"Should I start a company, join a startup or join a big company?"
204854276.html,Founders' Decisions,Common mistakes,What’s the most common mistake you see with new CEOs?
205163943.html,Founders' Decisions,Founder dating,How do I make sure I have good cofounders?
205267493.html,Ideation,Brainstorming and ideation,How do I run a great brainstorming session?
205268413.html,Ideation,Brainstorming and ideation,How do I encourage people to take risks and share crazy ideas?
204963996.html,Ideation,Brainstorming and ideation,How do I encourage people to think outside the box?
204963966.html,Ideation,Brainstorming and ideation,What does improvisation theater have to do with ideation?
204963136.html,Ideation,Brainstorming and ideation,How do I come up with new ideas?
205163463.html,General questions,Startup administrivia,How do I start a company?
205267353.html,Legal ,Company formation / incorporation,How do I file papers for incorporation?
205267313.html,Legal ,Company formation / incorporation,What is incorporation?
205267303.html,Legal ,Hiring your first lawyer,What is a startup program at a law firm?
204947236.html,Financing,Fund Raising,I am getting ready to raise money. Can someone at the Trust Center introduce me to an angel investor?
204937556.html,Team Building,Nurturing a team,Suggested resources for conflict 
204937526.html,Team Building,Nurturing a team,Key points to remember in conflict management
204936576.html,Team Building,Nurturing a team,What is conflict?
205241583.html,Strategy,Board of Director Considerations ,What do you present at a board meeting?
204934626.html,Strategy,Board of Director Considerations ,Why do boards use term limits?
205241553.html,Strategy,Board of Director Considerations ,What is an observer seat?
205240633.html,Strategy,Board of Director Considerations ,Why shouldn't you have friends on your board?
205240613.html,Strategy,Board of Director Considerations ,What are the necessary components of the board?
205237573.html,Strategy,Board of Director Considerations ,What is the role of the board?
205194123.html,Defining and Refining Product/Market Fit,Product requirements,What is Product/Market Fit?
204891786.html,Primary Market Research,Getting started,What is primary market research?
204855026.html,Financing,Fund Raising,When should I fund-raise?
205193903.html,Defining and Refining Product/Market Fit,Product requirements,How do I define my product requirements?
204891346.html,MIT Specific questions,Academics at MIT,What entrepreneurship classes are available at MIT?
204891336.html,General questions,Glossary,Entrepreneurship Jargon Translator
205164053.html,Primary Market Research,Getting started,How do I do primary market research?
205163933.html,Founders' Decisions,Founder dating,What is the next step if I’m a technical person with an idea?
205164483.html,Strategy,Pivotting,How do you know when to give up or change course?
205166043.html,General questions,Startup / Entrepreneurship Frameworks,What is the Business Model Canvas?
204857066.html,General questions,Startup / Entrepreneurship Frameworks,What is the Lean Startup framework?
204857006.html,General questions,Startup / Entrepreneurship Frameworks,What is the Disciplined Entrepreneurship framework?
205162853.html,General questions,Good reads,I am new to entrepreneurship. What are some good books to read / blogs to follow?
205164503.html,Strategy,Confidentiality,How can I carefully talk about my startup without letting people steal my idea?
205164443.html,Team Building,Team Process,How do I get my team to work together well? 
204855036.html,Financing,Fund Raising,Who are the people who invest in startups in Boston?
205164493.html,Strategy,Confidentiality,When should I come out of stealth mode?
205164433.html,Team Building,Nurturing a team,I am a first time founder straight out of college and don’t have industry experience. How can I learn to build a great team?
205164413.html,Human Resources,Hiring,How do I find people to join my team?
204854946.html,Product Development,Medical Devices,How can I learn more about the process of developing a medical device?
205164403.html,Product Development,Software Development,How can I learn more about software development?
204854836.html,Product Development,Hardware Development,How can I learn more about hardware development?
204854826.html,Leadership and Culture,Managing Development,How do I balance the prioritization between features and bugs when doing demos?
204854756.html,Product Development,Planning projects,How important is it for a team to initially have a detailed plan? 
204854566.html,Primary Market Research,Testing the business model,How do you gauge purchase intent in an interview?
204854556.html,Primary Market Research,Subject recruitment,How do I recruit subjects?
204854346.html,Primary Market Research,Interview techniques,Is it a good idea to start a customer interview with an “on a scale of 1-10” question?
204854316.html,Product Management,Secondary Market Research on the cheap,How do I size a market when I don’t have any budget to buy expensive analyst reports with?
204854286.html,Founders' Decisions,Equity split,How should I divide my equity with my co-founders?
205163923.html,Ideation,Idea selection,I have lots of ideas – how do I pick one to run with?
204854256.html,MIT Specific questions,Coaching and Mentorship,Where can I get coaching and mentorship help in and around MIT?
205163873.html,General questions,Finding your way around the Boston startup landscape,I am new to the Boston startup ecosystem. Where can I go to meet other founders or get access to local resources?
205163573.html,Customer Acquisition,Marketing and Branding,How much energy should I spend naming my startup?
204854096.html,Customer Acquisition,Marketing and Branding,What marketing presence do I need to have on Day 1?
205163793.html,Legal ,Intellectual Property Protection,What are the different types of intellectual property options open to me?
205467136.html,MIT Specific questions,Startup resources for MIT students,Can I get my logo designed for free?
205815353.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,How do I book a room at the Trust Center?
205815063.html,MIT Specific questions,Startups founded by MIT alumni,What are some recent MIT startups that went public?
204891476.html,MIT Specific questions,Academics at MIT,In what order should I take entrepreneurship classes at MIT?
205164473.html,Team Building,Team Process,My functional teams aren’t talking or coordinating with each other. How do we deal with silo thinking? 
205164453.html,Team Building,Nurturing a team,When do I bring on senior folks like a VP of Engineering?
205164423.html,Human Resources,Hiring,How do I make sure I am hiring the right people?
205164383.html,Leadership and Culture,Managing Development,How can I get things done when everyone is a part-time contractor?
204854776.html,Product Development,Planning projects,How rigidly should you adhere to that plan?
205164323.html,Primary Market Research,Testing the business model,How do I do pricing research in a detailed interview?
205164183.html,Primary Market Research,Subject recruitment,How do you get a company to give you access to its people for a B2B project?
204854376.html,Primary Market Research,Interview techniques,What are some common conversation starters to help get an open-ended interview off the ground?
204854336.html,Primary Market Research,Getting started,What do I do if I want to work on a problem but don’t know the solution?
205163813.html,Legal ,Intellectual Property Protection,What is the difference between a full-on patent application and a provisional patent?
205163563.html,General questions,Startup administrivia,How do I keep track of all my business contacts?
205815363.html,MIT Specific questions,Startup resources for MIT students,Can I find a programmer who will work for free?
205091076.html,MIT Specific questions,Academics at MIT,Can I attend entrepreneurship classes as a listener?
204854996.html,Team Building,Team Process,How do I manage remote employees effectively?
205164373.html,Leadership and Culture,Managing Development,My developers don’t like the tools I chose for managing development. How do I bring them around?
204854786.html,Product Development,Planning projects,What do I need to know to create a realistic project plan if the work is outside my area of expertise?
204854396.html,Primary Market Research,Interview techniques,How do you build a discussion guide for a detailed interview?
204854146.html,Legal ,Intellectual Property Protection,What is the difference between a utility patent and a design patent?
204853986.html,General questions,Startup administrivia,Should I open a separate bank account to manage my startup's money?
205464846.html,MIT Specific questions,Startup resources for MIT students,Can I get Harvard Business Review cases for free?
204854216.html,Legal ,Intellectual Property Protection,How do I file a patent?
204855006.html,Team Building,Team Process,What are good meeting cadences?
205164363.html,Leadership and Culture,Managing Development,How can you get developers to do more faster?
205164333.html,Product Development,Planning projects,How can we get better work estimates? My developers are constantly off by a factor of 2 or more.
204854406.html,Primary Market Research,Interview techniques,What if the interview subject simply won’t talk?
205163443.html,General questions,Startup administrivia,What service providers should I hire to get going quickly?
205163843.html,Legal ,Intellectual Property Protection,Should I save money by filing a patent myself?
205464806.html,MIT Specific questions,Startup resources for MIT students,Can I get Harvard Business Review articles for free?
204854816.html,Leadership and Culture,Managing Development,How do I know if a developer isn’t goofing off if I’m not watching them all the time?
204854806.html,Product Development,Planning projects,I have a business-driven deadline that cannot be moved and I need a deliverable by that date. My developers say it cannot be done. How do I proceed?
204854686.html,Primary Market Research,Interview techniques,What if you keep hearing the same thing over and over?
204854006.html,General questions,Startup administrivia,What software should I use to manage my finances?
205164353.html,Leadership and Culture,Managing Development,I am constantly surprised by missed deadlines. How do I fix this?
205164293.html,Primary Market Research,Interview techniques,What if every conversation with a new interview subject is a whole new conversation?
205163853.html,Legal ,Intellectual Property Protection,We are too busy to talk to laywers. Can I hire someone to write my patent applications for me?
205164193.html,Primary Market Research,Interview techniques,How many interviews do you need to build a good persona?
204854196.html,Legal ,Intellectual Property Protection,What do I need to do to get ready to file a utility patent?
204854106.html,Legal ,Intellectual Property Protection,Why should I file patents when I know the whole system is broken?
204854206.html,Legal ,Intellectual Property Protection,How do I handle international filings?
205713216.html,Legal ,Intellectual Property Protection,What is a prior art search?
206043293.html,Legal ,Intellectual Property Protection,Why do a prior art search?
